"ONGOING LIST OF BUSINESSES SUPPORTING THE FRIDAY, JANUARY 23 GENERAL STRIKE",
123,"Brother Justus Whiskey Co. - St. Louis Park, MN"
124,"Brown & Greene Floral - Minneapolis, MN"
125,"Bruhaven Craft Co. (closed until 4pm, portion of day's proceeds will go to Immigrant Law Center of MN) - Minneapolis, MN"
126,"Brunson's Pub - St. Paul, MN"
127,"Bryant Lake Bowl - Minneapolis, MN"
128,"Bryn Mawr Pizza - Minneapolis, MN"
129,"Bucheron - Minneapolis, MN"
130,"Buffalo Books - Buffalo, MN"
131,"Bull's Horn - Minneapolis, MN"
132,"Bumbling Fools Mead - Minneapolis, MN"
133,"Bungalow Club - Minneapolis, MN"
134,"Burgers and Bottles - St. Paul, MN"
135,"Burrito Mercado - St. Paul, MN"
136,"Buttered Tin, Northeast - Minneapolis, MN"
137,"Buttered Tin, St. Paul - St. Paul, MN"
138,"Buzz Coffee and Cafe - Burnsville, MN"
139,"Bymore Mercado - St. Paul, MN"
140,"Cache - Minneapolis, MN"
141,"Cadenza Music - St. Paul, MN"
142,"Cafe Latte (backtracked and earlier statement about staying open, will now be closed but says nothing about the strike and is known to not be in support) - St. Paul, MN"
143,"Cafe Marguerite - Minneapolis, MN"
144,"Cafe Meow - New Hope, MN"
145,"Cafe Meow - Roseville, MN"
146,"Cafe Steam, 150 S. Broadway - Rochester, MN"
147,"Cafe Steam, 2nd Ave. SE- Rochester, MN"
148,"Cafe Steam, 315 S. Boradway - Rochester, MN"
149,"Cafe Yoto - Minneapolis, MN"
150,"Cafesjian Art Trust Museum - Shoreview, MN"
151,"Caffetto - Minneapolis, MN"
152,"Cake Plus-Sized Retail - Minneapolis, MN"
153,"Cal Surf - Minneapolis, MN"
154,"Caliiber Works Watch Repair - Minneapolis, MN"
155,"Caliiber Works Watch Repair - Minneapolis, MN"
156,"Can Can Wonderland - St. Paul, MN"
157,"CannaJoyMN - Minneapolis, MN"
158,"Canteen 3255 - Minneapolis, MN"
159,"Capital Guitars - St. Paul, MN"
160,"Carbone's - Minneapolis, MN"
161,"Cardamom - Minneapolis, MN"
162,"Cardigan Donuts, IDS Center - Minneapolis, MN"
163,"Cardigan Donuts, US Bank - Minneapolis, MN"
164,"Cargo Bike Shop (open in afternoon as a place to warm up and grab coffee) - St. Paul, MN"
165,"Carina Creative - St. Paul, MN"
166,"Carina Photographics - St. Paul, MN"
167,"Carmody Irish Pub and Brewing - Duluth, MN"
168,"Carnitas Don Tachos - St. Paul, MN"
169,"Carpe Noctem Candles - Stillwater, MN"
170,"Casa Azul Agave Mexican Restaurant - St. Paul, MN"
171,"Casa Deli - Savage, MN"
172,"Cat aMEWsment - St. Paul, MN"
173,"Catzen Coffee (It will be closed for business, but the shop will be open ""as a place to be"" with free drip coffee.)"
174,"Caydence Records & Coffee - St. Paul, MN"
175,"Center for Lost Objects - St. Paul, MN"
176,"Chapel Brewing - Dundas, MN"
177,"Checkmat - Minneapolis, MN"
178,"Chester Creek Bookstore - Duluth, MN"
179,"Chez Annalise - Minneapolis, MN"
180,"Chimborazo - Minneapolis, MN"
181,"Chimborazo - St. Paul, MN"
182,"Chloe - Minneapolis, MN"
183,"Churchill St. Restaurant - Shoreview, MN"
184,"Cinenechanics - Golden Valley, MN"
185,"City Blocks Quilt Shop - Minneapolis, MN"
186,"Claddagh Coffee - St. Paul, MN"
187,"Clapping Monkey House of Coffee - Fridley, MN"
188,"Clawland - Maplewood, MN"
189,"Clay Pit - Minneapolis, MN"
190,"Clay Squared Gallery (free communtiy ""clay play"" saturday January 24 1pm-5pm) - Minneapolis, MN"
191,"Clay Squared to Infinity - Minneapolis, MN"
192,"Clown Glass - Minneapolis, MN"
193,"Coastal Seafoods - Minneapolis, MN"
194,"Coastal Seafoods - St. Paul, MN"
195,"Code Blu Coffee (closing early at 1pm) - Minneapolis, MN"
196,"Coffee Cup - St, Paul, MN"
197,"Coffee House Press - Minneapolis, MN"
198,"Coffee Shop Northeast - Minneapolis, MN"
199,"Colita - Minneapolis, MN"
200,"Collective Dimensions - Crystal, MN"
201,"Color Me Mine - Maple Grove, MN"
202,"Colossal Cafe - St. Paul, MN"
203,"Combine - Minneapolis, MN"
204,"Comedy Corner Underground - Minneapolis, MN"
205,"Comma, a bookshop - Minneapolis, MN"
206,"Company Bar - Minneapolis, MN"
207,"Corazon Collections - Minneapolis, MN"
208,"Corner Coffee Camden - Minneapolis, MN"
209,"Corner Coffee Downtown Minneapolis - Minneapolis, MN"
210,"Corner Coffee North Loop - Minneapolis, MN"
211,"Corner Coffee Northeast - Minneapolis, MN"
212,"Corner Coffee Uptown - Minneapolis, MN"
213,"Cosmic Coffee (closed for business, open for community"
214,"Costumes Plus - Maplewood, MN"
215,"Cream and Amber - Hopkins, MN"
216,"Crema (6:30am-12pm, portion of proceeds from the day will be donated to Immigrant Rapid Response Fund) - Minneapolis, MN"
217,"Curiosity - Minneapolis, MN"
218,"Curious Crow Company (until 5pm, allowing 3rd space to decompress later and allow sold out jigsaw puzzle contest) - Circle Pines, MN"
219,"Curiouser Coffee & Conservatory - Apple Valley, MN"
220,"Curl Power Salon - Minneapolis, MN"
221,"Current 89.3 has canceled it's 21st Anniversary celebration at First Ave - Minneapolis, MN"
222,"D & J Glove Repair - Minneapolis, MN"
223,"Daily Dose Retro - St. Paul, MN"
224,"Daily Grind Espresso Cafe - Stillwater, MN"
225,"Dana's Bookstore - Isanti, MN"
226,"Dandelion Fiber Company - Minneapolis, MN"
227,"Dark Horse Bar & Eatery (Elective Creative Collective donating 10% of sales from its 3 business to Immigrant Law Center of MN Jan 19 - Jan 25) - St. Paul, MN"
228,"Darling - Minneapolis, MN"
229,"Darn. Knit. (anyway) - St. Paul, MN"
230,"Day By Day Cafe - St. Paul, MN"
231,"Deidre & Company - Minneapolis, MN"
232,"Deja Vu - Minneapolis, MN"
233,"Delicias de Frida - Minneapolis, MN"
234,"DelSur Empanadas - Minnetonka, MN"
235,"Demi - Minneapolis, MN"
236,"Dexter's - Minneapolis, MN"
237,"Diamonds Coffee Shoppe - Minneapolis, MN"
238,"Ding Tea - St. Paul, MN"
239,"Disco Death Records (free sandwiches and coffee 10 am - 1 pm) - Minneapolis, MN"
240,"Diva Dog, Duluth - Duluth, MN"
241,"Dock 6 Pottery (gallery closed) - St. Anthony, MN"
242,"Dogwood Coffee East Lake - Minneapolis, MN"
243,"Dogwood Coffee Northeast - Minneapolis, MN"
244,"Dogwood Coffee, St. Paul - St. Paul, MN"
245,"Dona Cerveceria - Minneapolis, MN"
246,"Doodle Bird Design + Gifts - Minneapolis, MN"
247,"Dovetail Cafe and Marketplace - Duluth, MN"
248,"Down in the Valley, Golden Valley - Golden Valley, MN"
249,"Down in the Valley, Maple Grove - Maple Grove, MN"
250,"Dreamgirls - Minneapolis, MN"
251,"DreamHaven Books and Comics - Minneapolis, MN"
252,"Dreamstate Cafe - Minneapolis, MN"
253,"Dripping Root - Minneapolis, MN"
254,"Drop Dead Gorgeous - Minneapolis, MN"
255,"Drury Lane Books - Grand Marais, MN"
256,"Dual Citizen Brewing (open. donating 100% of revenue from the day to Every Meal, non-profit) - Minneapolis, MN"
257,"Duck Duck Coffee - Minneapolis, MN"
258,"Duck! - Eagan, MN"
259,"Dusty's Bar - Minneapolis, MN"
260,"E's Emporium - Minneapolis, MN"
261,"Eagle MPLS - Minneapolis, MN"
262,"Earl Giles Distillery - Minneapolis, MN"
263,"Eastside Food Co-op - Minneapolis, MN"
264,"Eat My Words Bookstore - Minneapolis, MN"
265,"EaTo - Minneapolis, MN"
266,"Eclipse Music - West St. Paul, MN"
267,"Edelweiss Bakery - Prior Lake, MN"
