"ONGOING LIST OF BUSINESSES SUPPORTING THE FRIDAY, JANUARY 23 GENERAL STRIKE",
531,"Makwa Coffee - Roseville, MN"
532,"Malt Shop - Minneapolis, MN"
533,"Manger Restaurant and Wine Bar - Bayport, MN"
534,"Manny's Tortas - Minneapolis, MN"
535,"Marc Heu Patisserie Paris, Minneapolis - Minneapolis, MN"
536,"Marc Heu Patisserie Paris, St. Paul - St. Paul, MN"
537,"Marigold, Minneapolis - Minneapolis, MN"
538,"Marigold, St. Paul - St. Paul, MN"
539,"Mario's - St. Paul, MN"
540,"Marquez Grill - St. Paul, MN"
541,"Marquez Grill - St. Paul, MN"
542,"Martina - Minneapolis, MN"
543,"Marty's Deli  - Minneapolis, MN"
544,"Mastel's Health Foods - St. Paul, MN"
545,"Max's Jewelry - Minneapolis, MN"
546,"May Day Cafe in Minneapolis: Closed for business, but will offer a free meal for the community from 10 a.m. to 1:30 p.m."
547,"McCarron's Pub - Maplewood, MN"
548,"Mean Miners, Apple Valley - Apple Valley, MN"
549,"Mean Miners, Eagan - Eagan, MN"
550,"Mend Provisions - St. Paul, MN"
551,"Merlins Rest Pub (Closed for regular service, but will ""gather quietly that night"" for Merlins Rest Private Pub - ""a modern lock-in, by invitation only."") - Minneapolis, MN"
552,"Meteor - Minneapolis, MN"
553,"Metta Coffee - Anoka, MN"
554,"Mi-Sant Kitchen & Bakery, Brooklyn Park - Brookyln Park, MN"
555,"Mi-Sant Kitchen & Bakery, Roseville - Roseville, MN"
556,"MIA Minneapolis Institute of Art - Minneapolis, MN"
557,MidModMen + Friends in Minneapolis
558,"Midway Books (closed. no indication of support) - St. Paul, MN"
559,"Midwest Bookish Fest - Minneapolis, MN"
560,"Midwest Musical Imports - Minneapolis, MN"
561,"MIGIZI - Minneapolis, MN"
562,"Milkjam Creamery - Minneapolis, MN"
563,"Milkweed Books (offices and bookstore) - Minneapolis, MN"
564,"Mill City Roasters - Minneapolis, MN"
565,"Mill City Running, Minneapolis (no mention of support) - Minneapolis, MN"
566,"Mill City Running, St. Paul (no mention of support) - St. Paul, MN"
567,"Mill City Sound - Hopkins, MN"
568,"Miller's Corner Bar and Grill - Columbia Heights, MN"
569,"Milly's Wine Bar and Bistro - Minneapolis, MN"
570,"Minari - Minneapolis, MN"
571,"Minneapolis Cider Co. - Minneapolis, MN"
572,"Minneapolis Tattoo - Minneapolis, MN"
573,"Minnesota Aurora (soccer team, store & office closed)"
574,"Minnesota Burger Company, 14883 Florence Trail - Applevalley, MN"
575,"Minnesota Burger Company, 14889 Florence Trail - Applevalley, MN"
576,"Minnesota Center for Book Arts - Minneapolis, MN"
577,"Minnesota Children's Museum - St. Paul, MN"
578,"Minnesota Council of Nonprofits - St. Paul, MN"
579,"Minnesota Made - Stillwater, MN"
580,"Minnesota Marine Art Museum - Winona, MN"
581,"Minnesota Museum of American Art - St. Paul, MN"
582,"Minocqua Brewing Company - Minocqua, WI"
583,"Mischief Toy Store - St. Paul, MN"
584,"Misfit Coffee (closed for business, open for community for free drip coffee & espresso 8am - 2pm)"
585,"Mississippi Market Co-op, East 7th - St. Paul, MN"
586,"Mississippi Market Co-op, Selby - St. Paul, MN"
587,"Mississippi Market Co-op, West 7th - St. Paul, MN"
588,"Mississippi Park Connection (offices closed) - St. Paul, MN"
589,"Mitrebox Framing Studio - Minneapolis, MN"
590,"Mixed Blood Theater Company - Minneapolis, MN"
591,"MJ Delights - St. Paul, MN"
592,"MN NAF! Salon - Minneapolis, MN"
593,"Modern Times Cafe - Minneapolis, MN"
594,"Modist Brewing (free hotdogs 12pm-6pm for anyone participating in the action) - Minneapolis, MN"
595,"Mojo Coffee Gallery - Minneapolis, MN"
596,"Moloney's Irish Imports - St. Paul, MN"
597,"Momo Cafe - Minneapolis, MN"
598,"Moon Palace Books - Minneapolis, MN"
599,"Moona Moono - Minneapolis, MN"
600,"MoonStone MPLS - Minneapolis, MN"
601,"Morrissey's Irish Pub - Minneapolis, MN"
602,"Moscow on the Hill - St. Paul, MN"
603,"Moth Oddities - Minneapolis, MN"
604,"Mother Co. Plants - Minneapolis, MN"
605,"Mother Earth Gardens - Minneapolis, MN"
606,"Moto-i - Minneapolis, MN"
607,"MPLS Tattoo - Minneapolis, MN"
608,"MPLSstitchshop - Minneapolis, MN"
609,"MSP Film Society - Minneapolis, MN"
610,"Mucci's Italian - St. Paul, MN"
611,"Muse2320 - Hastings, MN"
612,"Museum of Russian Art - Minneapolis, MN"
613,"My Current Obsessions Company - Hastings, MN"
614,"My Town Music and Rochester Thaw (online sales shutdown) - Rochester, MN"
615,"Myriel - St. Paul, MN"
616,Nabi Remodeling - MN
617,"Nadia Cakes, Minneapolis - Minneapolis, MN"
618,"Nadia Cakes, Woodbury - Woodbury, MN"
619,"Nail Ninja - Minneapolis, MN"
620,"Namaste Brows & Boutique - Roseville, MN"
621,"Namaste Cafe - Minneapolis, MN"
622,"Namaste Gifts & Healing - Duluth, MN"
623,"Nanny's Jamaican Kitchen - St. Paul, MN"
624,"Native American Community Development Institute - Minneapolis, MN"
625,"Naw-Maw Kitchen - St. Paul, MN"
626,"NC Fitness: The Warehouse - Rosemount, MN"
627,"Neko Clawww - Roseville, MN"
628,"Nelson Cheese & Deli - St. Paul, MN"
629,"New Guild Jewelers - Minneapolis, MN"
630,"Next Chapter Booksellers - St. Paul, MN"
631,"Nice Time Market - Minneapolis, MN"
632,"Niche Books (open, 10% of proceeds to La Vina) - Lakeville, MN"
633,"Nico's Taco and Tequila Bar, Minneapolis - Minneapolis, MN"
634,"Nico's Taco and Tequila Bar, St. Paul - St. Paul, MN"
635,"Nicollet ACE Hardware (open, 100% profits donated to Immigrant Law Center & Calvary Food Shelf) - Minneapolis, MN"
636,"Nighthawk's Diner and Bar - Minneapolis, MN"
637,"Nightingale - Minneapolis, MN"
638,"Nina's Cafe - St. Paul, MN"
639,"Noihsaf Bazaar - Minneapolis, MN"
640,"Nokko - Minneapolis, MN"
641,"Nokomis Surplus - Minneapolis, MN"
642,"Noma Hi-Fi Bar - Edina, MN"
643,"North & State - St. Louis Park, MN"
644,"North End Hardware and Rental - Minneapolis, MN"
645,"Northeast Farmers Market - Minneapolis, MN"
646,"Northeast Tea House - Minneapolis, MN"
647,"Northern Clay Center - Minneapolis, MN"
648,"Northern Coffeeworks - Minneapolis, MN"
649,"Northern Goods Life - Grand Marais, MN"
650,"Northern Waters Smokhaus - Duluth, MN"
651,"Oakwood Cafe - Anoka, MN"
652,"Occasional Fling - Elk River, MN"
653,"Odd Mart - Minneapolis, MN"
654,"Office Pub & Grill - Minneapolis, MN"
655,"Okome House - Minneapolis, MN"
656,"Oldies & Goodies MN - White Bear Lake, MN"
657,"Olio Vintage - Minneapolis, MN"
658,"Ollu Dogwash & Grooming Salon - Minneapolis, MN"
659,"Olson McIntyre - Crow Wing County, MN"
660,"Ombibulous - Minneapolis, MN"
661,"One on One Bicycle Studio - Minneapolis, MN"
662,"Open Hair Space - Richfield, MN"
663,"Open Studio Sewing - St. Louis Park, MN"
664,"Outta Wax Record Pressing - Minneapolis, MN"
665,"Overman Guitars - St. Paul, MN"
666,"Owamni - Minneapolis, MN"
667,"Owamniyomni Okhodayapi - Minneapolis, MN"
668,"Paddlefish Brewing (open. donating 50% of day's revenue to St. Peter Mexicana Market) - St. Peter, MN"
669,"Pan Asian Center - Maplewood, MN"
670,"Pancho Villa - Monticello, MN"
671,"Pancho's Taqueria & Mexican Cafe - Circle Pines, MN"
672,"Parc Shop - Minneapolis, MN"
673,"Parks & Trails Council of Minnesota - St. Paul, MN"
674,"Parkway Theatre - Minneapolis, MN"
675,"Patina, Eden Prairie - Eden Prairie, MN"
676,"Patina, Golden Valley - Golden Valley, MN"
677,"Patina, Highland Park - St. Paul, MN"
678,"Patina, Maple Grove - Maple Grove, MN"
679,"Patina, Roseville - Roseville, MN"
680,"Patina, Selby & Snelling - St. Paul, MN"
681,"Patina, South Minneapolis - Minneapolis, MN"
682,"Patina, Woodbury - Woodbury, MN"
683,"Peace Coffee - Minneapolis, MN"
684,"Peace Market Minnesota - Hilltop, MN"
685,"Penzey's, Lakeville - Lakeville, MN"
686,"Penzey's, Minneapolis - Minneapolis, MN"
687,"Penzey's, St. Paul - St. Paul, MN"
688,"People's Organic, Eden Prairie - Eden Prairie, MN"
689,"People's Organic, IDS Center - Minneapolis, MN"
690,"People's Organic, Southdale - Edina, MN"
691,"Perennial Cycle - Minneapolis, MN"
692,"Phe Coffee - St. Paul, MN"
693,"Picnic - Minneapolis, MN"
694,"Pilllar Forum (Closed for business, free coffee and community space from 7 a.m. to 5 p.m.) - Minneapolis, MN"
695,"Ping's Szechuan Bar & Grill - Minneapolis, MN"
696,"Pixel Farm - Minneapolis, MN"
697,"Pizza Karma, Apple Valley (25% of sales donated) - Apple Valley, MN"
698,"Pizza Karma, Dinkytown - Minneapolis, MN"
699,"Pizza Karma, Eden Prairie (25% of sales donated) - Eden Prairie, MN"
700,"Pizza Luce, Downtown MPLS - Minneapolis, MN"
701,"Pizza Luce, Duluth - Duluth, MN"
702,"Pizza Luce, Eden Prairie - Eden Prairie, MN"
703,"Pizza Luce, Hopkins - Hopkins, MN"
704,"Pizza Luce, Richfield - Richfield, MN"
705,"Pizza Luce, Roseville - Roseville, MN"
706,"Pizza Luce, Seward MPLS - Minneapolis, MN"
707,"Pizza Luce, St. Paul - St. Paul, MN"
708,"Pizza Luce, Uptown MPLS - Minneapolis, MN"
709,"Playing With Yarn - Knife River, MN"
710,"Playwright's Center - St. Paul, MN"
711,"Pluto Social Club - Hopkins, MN"
712,"Pomme de Terre Foods - Morris, MN"
713,"Poplar Haus - Grand Marais, MN"
714,"Porzana - Minneapolis, MN"
715,"Positively 3rd Street Bakery - Duluth, Mn"
716,"Potekglass - Minneapolis, MN"
717,"Pow Wow Grounds - Minneapolis, MN"
718,"Praxis Galleyy and Photo Arts Center - Minneapolis, MN"
719,"Price Krishnan Gallery - Minneapolis, MN"
720,"Prima Passta - Minneapolis, MN"
721,"Prodigal Pub - Minneapolis, MN"
722,"PROSE Nails - Roseville, MN"
723,"Pryes Brewing - Minneapolis, MN"
724,"Punch Pizza, Apple Valley - Apple Valley, MN (Emailed customer support and got a very begrudging response they will be closed. No indication of support.)"
725,"Punch Pizza, Eagan - Eagan, MN (Emailed customer support and got a very begrudging response they will be closed. No indication of support.)"
726,"Punch Pizza, Eden Prairie - Eden Prairie, MN (Emailed customer support and got a very begrudging response they will be closed. No indication of support.)"
727,"Punch Pizza, Grand Avenue - St. Paul, MN (Emailed customer support and got a very begrudging response they will be closed. No indication of support.)"
728,"Punch Pizza, Lake Street - Minneapolis, MN (Emailed customer support and got a very begrudging response they will be closed. No indication of support.)"
729,"Punch Pizza, Maple Grove - Maple Grove, MN (Emailed customer support and got a very begrudging response they will be closed. No indication of support.)"
730,"Punch Pizza, Northeast - Minneapolis, MN (Emailed customer support and got a very begrudging response they will be closed. No indication of support.)"
731,"Punch Pizza, Roseville - Roseville, MN (Emailed customer support and got a very begrudging response they will be closed. No indication of support.)"
732,"Punch Pizza, Vadnais Heights - Vadnais Heights, MN (Emailed customer support and got a very begrudging response they will be closed. No indication of support.)"
733,"Punch Pizza, Wayzata - Wayzata, MN (Emailed customer support and got a very begrudging response they will be closed. No indication of support.)"
734,"Punch Pizza, West End  - St. Louis Park, MN (Emailed customer support and got a very begrudging response they will be closed. No indication of support.)"
735,"Punch Pizza, Woodbury - Woodbury, MN (Emailed customer support and got a very begrudging response they will be closed. No indication of support.)"
736,"Pup Culture - Minneapolis, MN"
737,"Qamaria Coffee, Blaine - Blaine, MN"
738,"Qamaria Coffee, Eden Prairie - Eden Prairie, MN"
739,"Qamaria Coffee, Little Canada - Little Canada, MN"
740,"Qamaria Coffee, Rochester - Rochester, MN"
741,"Quality Appliance Repair - Emmons, MN"
742,"Que Taco, 42 Ave. N - New Hope, MN"
743,"Que Taco, Bass Lake Rd. - New Hope, MN"
744,"Que Taco, Burnsville - Burnsville, MN"
745,"Que Taco, Fridley - Fridley, MN"
746,"Que Taco, Savage - Savage, MN"
747,"Queenie & Pearl - Minneapolis, MN"
748,"Queer Space Collective - Minneapolis, MN"
749,"Queermunity - Minneapolis, Mn"
750,"Quixotic Coffee - St. Paul, MN"
751,"R Marketplace - Anoka, MN"
752,"Ramen Kazama - Minneapolis, MN"
753,"Random Hippie - Anoka, MN"
754,"Rare Bird - Minneapolis, MN"
755,"Rare Pair - Northfield, MN"
756,"Rebe's Play Cafe - St. Paul, MN"
757,"Rebel Gymnastics - Bloomington, MN"
758,"Recovery Bike Shop - Minneapolis, MN"
759,"Red Balloon Bookshop - St Paul, MN"
760,"Red Coral Coffee - Minneapolis, MN"
761,"Red Cow, 50th St. - Minneapolis, MN"
762,"Red Cow, First Ave. - Minneapolis, MN"
763,"Red Cow, Glumack - St. Paul, MN"
764,"Red Cow, Hennepin Ave. - Minneapolis, MN"
765,"Red Cow, Lake St. - Wayzata, MN"
766,"Red Cow, Rochester - Rochester, MN"
767,"Red Cow, Selby Ave. - St. Paul, MN"
768,"Red Rabbit, North Loop - Minneapolis, MN"
769,"Red Rabbit, St. Paul - Minneapolis, MN"
770,"Red Rocket Pizza Company - Minneapolis, MN"
771,"Red Star Rentals - Minneapolis, MN"
772,Refinery - Minneapolis
773,"Relate Counseling Center (paid leave for employees) - Minnetonka, MN"
774,"Relic Modern Furniture - Minneapolis, MN"
775,"Relish - Minneapolis, MN"
776,"Ren Market - Duluth, MN"
777,"Repair Lair - Minneapolis, MN"
778,"Revel & Flourish - Minneapolis, MN"
779,"Reverie Cafe + Bar - Minneapolis, MN"
780,"Reviving Roots - Minneapolis, MN"
781,"Revolve Hall - Apple Valley, MN"
782,"Rewind Vintage - Minneapolis, MN"
783,"Rinata - Minneapolis, MN"
784,"Rise & Remember - Minneapolis, MN"
785,"Rise Bagel Co. - Minneapolis, MN"
786,"River Market Community Co-op - Stillwater, MN"
787,"Rochester Local - Rochester, MN"
788,"Roots Roasting - St. Paul, MN"
789,"Rosalia, Linden Hills - Minneapolis, MN"
790,"Rosalia, Northeast - Minneapolis, MN"
791,"Roseville Eye Associates (also paying staff who were scheduled to work) - Roseville, MN"
792,"Rum Row - Chanhassen, MN"
793,"Rumba - Minneapolis, MN"
794,"Saint Paul Brewing - St. Paul, MN"
795,"Saloon - Minneapolis, MN"
796,"Sample Room - Minneapolis, MN"
797,"Sarna's Classic Grill - Columbia Heights, MN"
798,"Savory Bakehouse - Minneapolis, MN"
799,"Sazón Cocina & Tragos - Minneapolis, MN"
800,"Sazón Tacos & More, Eagan - Eagan, MN"
801,"Sazón Tacos & More, Minneapolis - Minneapolis, MN"
802,"Scarlet Hearth - Minneapolis, MN"
803,"Science Museum of Minnesota - St. Paul, MN"
804,"Scramblin' Egg - Bloomington, MN"
805,"Sebastian Joe's, Kingfield - Minneapolis, MN"
806,"Sebastian Joe's, Linden Hills - Minneapolis, MN"
807,"Sebastian Joe's, Lowry Hill - Minneapolis, MN"
808,"Sencha Tea Bar, Minneapolis - Minneapolis, MN"
809,"Sencha Tea Bar, St. Paul - St. Paul, MN"
810,"Sencha Tea Bar, Woodbury - Woodbury, MN"
811,"Senti (open, 100% of profits donated to Immigrant Law Center of MN) - Edina, MN"
812,"Serge and Jane - Minneapolis, MN"
813,"Sew Inviting - St. Paul, MN"
814,"Seward Cafe (open 8am-4pm to distribute donations, restroom use, free food,  drinks will be cash only) - Minneapolis, MN"
815,"Seward Co-op, Franklin Store - Minneapolis, MN"
816,"Seward Co-op, Friendship Store - Minneapolis, MN"
817,"Showtime Studio and Coffee - Roseville, MN"
818,"Sidecar at the Tap - Minneapolis, MN"
819,"Sift Gluten Free - Minneapolis, MN"
820,"Silver Fern (Closed for business, but will have free drip coffee and a public restroom) - Minneapolis, MN"
821,"Silverbird Coffee - Minneapolis, MN"
822,"Sir Benedict's Tavern on the Lake - Duluth, MN"
823,"Sister Sludge (closed for business, free coffee, espresso, & tea 6am to 1 pm) - Minneapolis, MN"
824,"SK Coffee, Skyway - Minneapolis, MN"
825,"SK Coffee, Vandalia - Minneapolis, MN"
826,"SK Coffee, Whittier - Minneapolis, MN"
827,"Small Hours - Minneapolis, MN"
828,"Sneaky Pete's - Minneapolis, MN"
829,"Sociable Cider Werks - Minneapolis, MN"
830,"Sol Hong Kong Cafe - Duluth, MN"
831,"Solcana Fitness - Minneapolis, MN"
832,"Solo Vino Wines - St. Paul, MN"
833,"Soo Visual Arts Center - Minneapolis, MN"
834,"South Lyndale Liqours - Minneapolis, MN"
835,"South Metro Music - Burnsville, MN"
836,"South Minneapolis National Karate - Minneapolis, MN"
837,"Spoils of Wear - St. Paul, MN"
838,"Spoon and Stable - Minneapolis, MN"
839,"Springboard for the Arts, Fergus Falls - Fergus Falls, MN"
840,"Springboard for the Arts, St. Paul - St. Paul, MN"
841,"Spyhouse, Downtown / Emery - Minneapolis, MN"
842,"Spyhouse, North Loop - Minneapolis, MN"
843,"Spyhouse, Northeast - Minneapolis, MN"
844,"Spyhouse, Rochester - Rochester, MN"
845,"Spyhouse, St. Paul - St. Paul, MN"
846,"Spyhouse, Uptown - Minneapolis, MN"
847,"Spyhouse, Whittier - Minneapolis, MN"
848,"Square Cut Pizza, Apple Valley - Apple Valley, MN"
849,"Square Cut Pizza, Farmington - Farmington, MN"
850,"St. Croix Chocolate Co. - Marine on St. Croix, MN"
851,"St. Genevieve - Minneapolis, MN"
852,"St. Paul Bagelry, Lexington Ave. N - Roseville, MN"
853,"St. Paul Bagelry, Nicollet - Minneapolis, MN"
854,"St. Paul Cheese Shop - St. Paul, MN"
855,St. Paul Corner Drug (In support but open to supply medications. Allowing any employee to take the day off)
856,"St. Paul Meat Shop - St. Paul, MN"
857,"St. Pierre - Minneapolis, MN"
858,"Stashery - Minneapolis, MN"
859,"Statement Boutique - Minneapolis, MN"
860,"Steady Pour - Minneapolis, MN"
861,"Steady Tattoo & Body Piercing - Minneapolis, MN"
862,"Steel Toe Brewing - St. Louis Park, MN"
863,"Stone Arch Tattoo - Minneapolis, MN"
864,"StormKing Brewpub and Barbecue - Minneapolis, MN"
865,"Story Line Books - St. Paul, MN"
866,"Stray Dog Restaurant & Bar - Minneapolis, MN"
867,"Studio Cafe - Duluth, MN"
868,"Studio Project - Minneapolis, MN"
869,Style Society - St. Paul MN
870,"SubText Books - St. Paul, MN"
871,"Sunna - Minneapolis, MN"
872,"Superior Saunas Events & Experience - Minneapolis, MN"
873,"Surly Beer Hall - Minneapolis, MN"
874,"Surly Brewing - Minneapolis, MN"
875,"Sushi Train, Bde Maka Ska - Minneapolis, MN"
876,"Sushi Train, Lowery Park - Minneapolis, MN"
877,"Sweatleaves - Minneapolis, MN"
878,"Sweeney's Saloon (bar service only from 5 p.m.) - St. Paul, MN"
879,"Sweetpea & Co. - Spring Lake Park, MN"
880,"T-Rex Cookie Company (open 20% of sales on the day ot Immigrant Rapid Response Fund) - Eagan, MN"
881,"Taco Libre - West St. Paul, MN"
882,"Taco Loco - Columbia Heights, MN"
883,"Tacos El Kevin - Minneapolis, MN"
884,"Tailgate Sports Cafe - Richfield, MN"
885,"Tandem Vintage - Minneapolis, MN"
886,"Tangletown Bike Shop - Minneapolis, MN"
887,"Tangletown Gardens - Minneapolis, MN"
888,"Tapatia - Roseville, MN"
889,"Tattoo Spirit - Minneapolis, MN"
890,"Tease Salon - St. Paul, MN"
891,"Tejaban - Richfield, MN"
892,"Tequila Butcher - Chanhassen, MN"
893,"Terra Loco - Rochester, MN"
894,"Textile Center - Minneapolis, MN"
895,"Thérèse - Edina, MN"
896,"Thesis Beer Project - Rochester, MN"
897,"Thinking Spot (closed for business, open for community) - Wayzata, MN"
898,"Thirty-Six Cafe - St. Paul, MN"
899,"Tilia - Minneapolis, MN"
900,"Time Bomb Vintage - St. Paul, MN"
901,"Tongue in Cheek - St. Paul, MN"
902,"Tonka Cycle and Ski - Hopkins, MN"
903,"Tonka Pizza - Minnetonka, MN"
904,"Tonkadale Greenhouse - Minnetonka, MN"
905,"Tower Games - Minneapolis, MN"
906,"Town Hall Brewery - Minneapolis, MN"
907,"Town Hall Lanes - Minnepaolis, MN"
908,"Town Hall Station - Minneapolis, MN"
909,"Town Hall Tap - Minneapolis, MN"
910,"Trapped Puzzle Rooms - Minneapolis, MN"
911,"Treedome - Rochester, MN"
912,"Trieste Cafe - Minneapolis, MN"
913,"Tropes & Trifles (Closed for sales. Open 11-6 for free community resources) - Minneapolis, MN"
914,"True Stone Coffee Roasters - St. Paul, MN"
915,"Trylon Cinema - Minneapolis, MN"
916,"Turquoise Vintage - Minneapolis, MN"
917,"Turtle Bread, Chicago Ave - Minneapolis, MN"
918,"Turtle Bread, Linden Hills - Minneapolis, MN"
919,"Turtle Bread, Longfellow - Minneapolis, MN"
920,"Twelve Vultures - Minneapolis, MN"
921,"Twin Cities Crickets - Spring Lake Park, MN"
922,Twin Cities Family - MN
923,"Twin Cities Leather - Minneapolis, MN"
924,"Twin Cities Library of Things - Minneapolis, MN"
925,"Twin Cities Pets - St. Paul, MN"
926,"Twin Cities Reptiles - St. Paul, MN"
927,"Twin Town Guitars - Minneapolis, MN"
928,"Twisted Hare Salon and Spa - Minneapolis, MN"
929,"Up Coffee - Minneapolis, MN"
930,"Up Down - Minneapolis, MN"
931,"Up Six Vintage - St. Paul, MN"
932,"Uptown Cheapskate Lakeville - Lakeville, MN"
933,"Uptown Tattoo - Minneapolis, MN"
934,"Urban Tails Pet Supply - Minneapolis, MN"
935,"Utepils Brewing - Minneapolis, MN"
936,"Valley Bookseller - Stillwater, MN"
937,"Valley Natural Foods - Burnsville, MN"
938,"Vegan East - Minneapolis, MN"
939,"Venn Brewing - Minneapolis, MN"
940,"Verdant Tea - Minneapolis, MN"
941,"Victor's 1959 Cafe - Minneapolis, MN"
942,"Vig Guitars - St. Paul, MN"
943,"Vikre Distillery - Duluth, MN"
944,"Ville City Pizza Co. - Roseville, MN"
945,"Vinaigrette - Minneapolis, MN"
946,"Vine Room - Hopkins, MN"
947,"Vine Shop - Hopkins, MN"
948,"Vintage Storyteller - Maple Plain, MN"
949,"Violence Free Minnesota (offices closed) - Minneapolis, MN"
950,"Violet Wine & Spirits - Minneapolis, MN"
951,"Vital Print Press - Minneapolis, MN"
952,"Volstead House - St. Paul, MN"
953,"Voyageur Donuts - Duluth, MN"
954,"Walden Coffee - Minneapolis, MN"
955,"Waldmann Brewery - St. Paul, MN"
956,"Walker Art Center (Friday performance also cancelled) - Minneapolis, MN"
957,"Wally's Falafel, Hummus, and Bakery - Minneapolis, MN"
958,"Wandering Leaf Brewing (open. $2 from every beer donated to Neighborhood House. Collecting goods for Neighborhood House) - St. Paul, MN"
959,"Watershed Spa (no bookings after 2pm, all revenue donated) - Minneapolis, MN"
960,"Waystone Coffee Co - River Falls, WI"
961,"Wedge Community Co-ops, Lindin Hills - Minneapolis, MN"
962,"Wedge Community Co-ops, Lyndale - Minneapolis, MN"
963,"Weisman Art Museum - Minneapolis, MN"
964,"Well Read Books - Elk River, MN"
965,"West Photo - Minneapolis, MN"
966,"Wet Paint - St. Paul, MN"
967,"Whiskey Inferno - Apple Valley, MN"
968,"Whiskey Inferno - Savage, MN"
969,"White Bear Lake Records - White Bear Lake, MN"
970,"Whole Earth Market Co-Op - River Falls, WI (THANK YOU OUR WISCONSIN NEIGHBORS!)"
971,"Wild Birds Unlimited, Woodbury - Woodbury, MN"
972,"Wild Rumpus Bookstore - Minneapolis, MN"
973,"Wild Things Antiques - Fridley, MN"
974,"Wildflyer Coffee, Minneapolis - Minneapolis, MN"
975,"Wildflyer Coffee, St. Paul - St. Paul, MN"
976,"Wired Whisker - Duluth, MN"
977,"Wise Acre Eatery - Minneapolis, MN"
978,"Wolfpack Promotionals LLC - Minneapolis, MN"
979,"Wonderful Elephant - Davis, CA (THANK YOU OUR CALIFORNIA FAMILY!!!)"
980,"Wooden Hill Brewing - Edina, MN"
981,"Wooden Ship Brewing - Minneapolis, MN"
982,"Wooden Spoon - Mankato, MN"
983,"Workhorse Coffee Bar - St. Paul, MN"
984,"World Street Kitchen - Minneapolis, MN"
985,"Worship Times - Minneapolis, MN"
986,"Wrecktangle Pizza, Duluth - Duluth, MN"
987,"Wrecktangle Pizza, Food Truck"
988,"Wrecktangle Pizza, Graze Food Hall - Minneapolis, MN"
989,"Wrecktangle Pizza, LOL Kitchen - Minneapolis, MN"
990,"Wrecktangle Pizza, Lyn-Lake - Minnapolis, MN"
991,"Wrecktangle Pizza, Malcom Yards - Minneapolis, MN"
992,"Wussow's Concert Coffee - Duluth, MN"
993,"Xelas by El Sazón - Stillwater, MN"
994,"Yarn Harbor - Duluth, MN"
995,"Yarnery - St. Paul, MN"
996,"Yarnology - Winona, MN"
997,"Yellowbird Coffee Bar, Northeast - Minneapolis, MN"
998,"Yellowbird Coffee Bar, St. Paul - St. Paul, MN"
999,"Yoga Six, Minnetonka - Minnetonka, MN"
1000,"Yoga Six, Nokomis - Minneapolis, Mn"
1001,"Zenith Bookstore - Duluth, MN"
1002,"Zephyr Direct Primary Care - Minneapolis, MN"
1003,"Zhora Darling - Minneapolis, MN"
1004,"ZRS Fossils and Gifts - Minneapolis, MN"
